employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
10561,Analytics,region_31,Bachelor's,m,other,1,31,5.0,3,0,0,84,0
51960,Procurement,region_2,Master's & above,m,other,2,44,2.0,16,0,0,71,0
786,Sales & Marketing,region_4,Bachelor's,f,sourcing,1,35,5.0,6,1,1,54,0
38192,Sales & Marketing,region_13,Bachelor's,m,other,1,60,5.0,8,0,0,46,0
38920,Analytics,region_22,Bachelor's,m,other,2,47,3.0,6,0,0,83,0
17518,Sales & Marketing,region_12,Bachelor's,m,other,1,36,1.0,8,0,0,50,0
67163,Procurement,region_22,Master's & above,f,sourcing,2,31,2.0,2,0,0,68,0
78059,Operations,region_14,Bachelor's,m,sourcing,1,38,3.0,10,0,0,61,0
46923,Finance,region_15,Bachelor's,m,sourcing,2,28,3.0,4,0,0,58,0
54579,Technology,region_20,Bachelor's,m,other,2,33,4.0,6,1,0,81,0
3991,Technology,region_13,Bachelor's,m,other,2,35,5.0,7,1,0,78,0
69212,Sales & Marketing,region_26,Bachelor's,f,other,1,36,1.0,7,0,0,50,0
50375,Procurement,region_2,Bachelor's,f,other,2,28,5.0,5,1,0,71,0
34963,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,38,1.0,7,0,0,48,0
51834,Technology,region_7,Bachelor's,m,sourcing,1,42,2.0,15,0,0,82,0
73778,Procurement,region_13,Master's & above,m,other,1,37,1.0,7,0,0,72,0
15501,Sales & Marketing,region_7,Bachelor's,m,other,1,33,5.0,7,0,0,48,0
10488,Operations,region_22,Bachelor's,m,other,4,34,5.0,2,1,0,57,0
77239,Operations,region_17,Bachelor's,m,other,1,31,4.0,9,0,0,65,0
39971,Technology,region_24,Bachelor's,f,sourcing,1,30,1.0,5,0,0,80,0
47906,Procurement,region_2,Below Secondary,m,sourcing,1,21,5.0,2,1,0,63,0
73027,Operations,region_27,Bachelor's,f,other,1,34,3.0,9,0,0,62,0
38941,Technology,region_13,Bachelor's,f,other,2,38,3.0,7,0,0,82,0
28577,HR,region_22,Bachelor's,f,other,1,28,1.0,2,0,0,48,0
3419,Sales & Marketing,region_2,Master's & above,m,sourcing,1,33,3.0,5,0,0,48,0
37471,Technology,region_2,Master's & above,m,other,1,51,2.0,8,0,0,76,0
18035,Sales & Marketing,region_33,Bachelor's,m,other,1,31,4.0,5,0,0,54,0
67727,Sales & Marketing,region_32,Bachelor's,m,sourcing,1,35,5.0,6,1,0,51,0
6605,Analytics,region_22,Bachelor's,m,sourcing,1,36,4.0,4,1,0,79,0
6824,Legal,region_31,Bachelor's,f,other,1,33,3.0,8,1,0,60,0
66050,Operations,region_27,Bachelor's,m,other,1,33,5.0,10,1,0,62,0
3185,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,31,4.0,5,0,0,46,0
66500,Operations,region_15,Bachelor's,m,other,1,46,4.0,6,1,0,59,0
36247,Procurement,region_17,Bachelor's,f,sourcing,1,37,4.0,9,0,0,66,0
78074,Sales & Marketing,region_22,Bachelor's,m,referred,1,25,1.0,2,0,0,56,0
44879,Operations,region_19,Bachelor's,f,sourcing,1,30,3.0,7,0,0,61,0
67774,Analytics,region_31,Bachelor's,m,sourcing,1,35,4.0,4,1,0,80,0
24877,Sales & Marketing,region_11,Bachelor's,m,other,1,45,3.0,4,0,0,48,0
9211,Operations,region_27,Bachelor's,m,sourcing,1,31,4.0,2,1,0,56,0
5971,Operations,region_7,Bachelor's,m,sourcing,1,39,1.0,4,0,0,60,0
70227,Technology,region_2,Bachelor's,m,sourcing,1,51,2.0,16,0,0,76,0
60084,Sales & Marketing,region_25,Master's & above,f,sourcing,1,36,1.0,3,0,0,44,0
47137,Sales & Marketing,region_13,Bachelor's,m,other,1,29,3.0,2,1,0,47,0
64430,Finance,region_2,Bachelor's,m,sourcing,1,29,3.0,3,0,0,58,0
17166,Sales & Marketing,region_13,Bachelor's,f,sourcing,1,31,1.0,4,0,0,51,0
40945,HR,region_6,Bachelor's,m,sourcing,1,32,4.0,7,1,0,48,0
17383,Sales & Marketing,region_16,Master's & above,m,other,1,37,1.0,8,0,0,47,0
27210,Finance,region_7,Bachelor's,m,sourcing,1,30,5.0,4,1,0,55,0
74648,Operations,region_2,Bachelor's,f,other,1,39,4.0,5,1,0,57,0
58750,Technology,region_11,Master's & above,f,sourcing,1,32,3.0,7,0,0,82,0
5577,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,29,1.0,7,0,0,50,0
69093,Analytics,region_4,Master's & above,m,other,2,47,5.0,5,0,0,87,0
70801,R&D,region_22,Bachelor's,m,other,3,36,5.0,8,1,0,81,0
28924,Sales & Marketing,region_4,Bachelor's,f,other,1,28,5.0,4,0,0,52,0
66424,Technology,region_2,Bachelor's,f,sourcing,2,23,4.0,1,1,0,81,0
39290,R&D,region_22,Master's & above,m,sourcing,1,35,3.0,2,0,0,86,0
47351,Procurement,region_2,Master's & above,m,sourcing,1,49,2.0,17,0,0,76,0
13539,Operations,region_21,Bachelor's,m,other,1,42,3.0,13,0,0,57,0
43535,Technology,region_17,Bachelor's,f,sourcing,1,30,5.0,5,1,0,76,0
34193,Operations,region_19,Bachelor's,f,other,1,38,3.0,10,0,0,58,0
48436,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,37,1.0,5,0,0,51,0
65379,Procurement,region_17,Bachelor's,f,sourcing,1,33,4.0,6,1,0,68,0
43970,Procurement,region_13,Bachelor's,m,sourcing,10,28,3.0,2,0,0,71,0
52696,Procurement,region_22,Bachelor's,m,sourcing,2,26,3.0,2,0,0,69,0
76783,Sales & Marketing,region_10,Master's & above,m,other,3,35,1.0,3,1,0,52,0
34416,Procurement,region_15,Bachelor's,m,other,1,38,5.0,2,1,1,75,0
46995,Procurement,region_5,Bachelor's,f,other,1,29,1.0,5,0,0,73,0
29838,Procurement,region_17,Bachelor's,m,other,1,34,5.0,8,1,0,66,0
4927,Operations,region_23,Bachelor's,m,other,1,29,1.0,4,1,0,63,0
38877,Sales & Marketing,region_23,Bachelor's,m,sourcing,2,25,2.0,3,0,0,51,0
54801,HR,region_2,Master's & above,f,sourcing,1,47,2.0,7,0,0,49,0
24979,Operations,region_26,Bachelor's,f,sourcing,1,26,3.0,2,0,0,58,0
46168,Procurement,region_31,Bachelor's,f,sourcing,1,28,3.0,2,0,0,69,0
19379,Technology,region_16,Below Secondary,m,other,1,24,5.0,1,1,0,73,0
22545,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,26,5.0,3,0,0,49,0
65689,Sales & Marketing,region_2,Bachelor's,m,other,1,57,5.0,6,0,0,45,0
69858,Operations,region_32,Bachelor's,f,sourcing,1,39,3.0,8,0,0,59,0
72048,Operations,region_26,Bachelor's,m,other,1,36,3.0,8,0,0,54,0
53278,Procurement,region_2,Master's & above,f,other,1,41,3.0,7,0,0,67,0
75200,Finance,region_4,Master's & above,f,other,1,33,3.0,4,0,0,64,0
58064,Technology,region_22,Bachelor's,m,other,1,31,3.0,4,0,0,83,0
66099,Sales & Marketing,region_16,Bachelor's,m,other,1,54,3.0,16,0,0,53,0
52929,HR,region_2,Below Secondary,m,sourcing,1,26,1.0,2,1,0,47,0
69199,Finance,region_13,Bachelor's,f,sourcing,1,31,2.0,7,0,0,61,0
52636,Technology,region_15,Bachelor's,m,sourcing,1,27,3.0,3,0,0,79,0
65860,Sales & Marketing,region_30,Master's & above,m,other,1,35,5.0,7,0,0,54,0
13128,Procurement,region_7,Master's & above,m,sourcing,1,44,3.0,4,1,0,67,0
38014,Operations,region_15,Bachelor's,f,sourcing,1,39,5.0,10,1,0,61,0
40866,Technology,region_8,Bachelor's,m,other,2,31,2.0,4,0,0,83,0
14911,Sales & Marketing,region_28,Bachelor's,m,other,1,30,1.0,9,0,0,47,0
6491,Sales & Marketing,region_7,Bachelor's,f,other,2,39,3.0,9,0,0,52,0
65000,Operations,region_2,Bachelor's,m,sourcing,1,30,3.0,6,0,0,55,0
18972,Finance,region_2,Bachelor's,m,sourcing,1,39,4.0,2,0,0,62,0
64137,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,37,5.0,6,0,0,52,0
77517,Technology,region_2,Master's & above,m,sourcing,1,57,3.0,6,0,0,76,0
76688,Operations,region_12,Bachelor's,m,other,1,27,3.0,3,0,0,55,0
35466,Sales & Marketing,region_2,Master's & above,f,other,1,42,4.0,8,0,0,50,0
13513,R&D,region_21,Bachelor's,m,sourcing,1,30,4.0,5,1,0,89,0
5872,Procurement,region_2,Bachelor's,f,sourcing,1,28,4.0,2,1,0,76,0
30619,Operations,region_2,Bachelor's,m,other,1,49,5.0,20,1,0,60,0
41545,Operations,region_11,Bachelor's,f,other,1,25,3.0,2,0,0,60,0
44156,Sales & Marketing,region_23,Bachelor's,m,sourcing,1,34,5.0,8,0,0,51,0
31607,Analytics,region_7,Bachelor's,m,sourcing,2,39,3.0,7,1,0,84,0
40090,Analytics,region_22,Master's & above,m,other,2,34,4.0,3,0,0,82,0
58097,Analytics,region_32,Bachelor's,m,other,4,31,5.0,3,1,1,85,0
38915,Procurement,region_7,Bachelor's,m,sourcing,1,42,3.0,9,1,0,67,0
15011,Operations,region_27,Bachelor's,f,other,1,28,3.0,4,1,0,59,0
69667,Operations,region_2,Bachelor's,m,other,1,27,4.0,4,0,0,54,0
54682,Procurement,region_2,Bachelor's,m,other,1,31,5.0,9,1,0,67,0
5090,HR,region_2,Bachelor's,m,sourcing,1,50,4.0,23,0,0,47,0
42518,Finance,region_2,Bachelor's,f,other,1,47,1.0,14,0,0,57,0
71958,Finance,region_7,Bachelor's,m,sourcing,1,30,4.0,4,1,0,59,0
48150,Sales & Marketing,region_29,Bachelor's,m,other,1,25,1.0,2,0,0,52,0
74188,HR,region_2,Bachelor's,f,sourcing,1,31,3.0,3,0,0,49,0
61518,Sales & Marketing,region_26,Master's & above,m,other,1,39,3.0,10,0,0,46,0
59068,Sales & Marketing,region_22,Bachelor's,m,other,1,35,1.0,7,0,0,52,0
52822,Operations,region_15,Bachelor's,m,sourcing,1,49,5.0,7,1,0,58,0
16479,Analytics,region_2,Master's & above,m,other,1,36,1.0,4,0,0,85,0
98,Technology,region_22,Master's & above,m,other,1,53,1.0,11,0,0,80,0
31697,Procurement,region_24,Bachelor's,m,other,1,31,1.0,2,0,0,70,0
64387,Sales & Marketing,region_15,Bachelor's,f,other,1,24,2.0,2,0,0,48,0
59441,Finance,region_9,Bachelor's,m,other,1,30,5.0,4,1,0,63,0
74909,Technology,region_22,Master's & above,m,sourcing,2,39,2.0,5,0,0,79,0
73221,R&D,region_22,Master's & above,m,referred,2,30,5.0,4,1,0,88,0
37347,Analytics,region_11,Bachelor's,m,other,1,29,4.0,3,1,0,83,0
5335,HR,region_22,Bachelor's,m,other,1,27,5.0,2,1,0,48,0
62109,Procurement,region_22,Bachelor's,f,other,1,32,1.0,4,0,0,65,0
4203,Sales & Marketing,region_31,Bachelor's,m,other,2,40,3.0,10,0,0,46,0
62566,Sales & Marketing,region_33,Bachelor's,m,sourcing,1,40,3.0,13,0,0,49,0
47335,Operations,region_29,Master's & above,m,other,1,32,3.0,7,0,0,60,0
39764,Sales & Marketing,region_25,Bachelor's,m,sourcing,1,34,4.0,8,0,0,52,0
46815,Operations,region_4,Bachelor's,m,sourcing,1,26,5.0,6,0,0,58,0
45892,Operations,region_2,Master's & above,f,referred,1,35,4.0,2,0,0,63,0
34511,Operations,region_2,Bachelor's,f,sourcing,1,40,2.0,12,0,0,64,0
21521,Operations,region_4,Master's & above,m,other,1,36,4.0,7,0,0,61,0
76727,Sales & Marketing,region_2,Bachelor's,m,other,2,29,1.0,5,0,0,49,0
26077,Analytics,region_2,Bachelor's,m,other,2,27,5.0,3,1,0,88,0
60170,Sales & Marketing,region_34,Bachelor's,m,sourcing,1,33,1.0,6,1,0,50,0
77143,Legal,region_22,Bachelor's,m,sourcing,1,25,3.0,2,0,0,59,0
72134,Finance,region_13,Bachelor's,m,sourcing,1,36,4.0,7,0,0,59,0
36837,Analytics,region_22,Bachelor's,m,sourcing,2,27,4.0,4,0,0,86,0
58203,Operations,region_16,Bachelor's,m,other,2,39,3.0,9,0,0,58,0
64048,Procurement,region_6,Bachelor's,m,sourcing,1,34,3.0,3,0,0,70,0
4271,R&D,region_22,Master's & above,m,sourcing,1,41,4.0,9,1,0,87,0
26606,Technology,region_2,Master's & above,m,other,1,56,4.0,26,0,0,73,0
53101,Operations,region_15,Master's & above,m,sourcing,2,33,3.0,6,0,0,61,0
8043,Sales & Marketing,region_22,Master's & above,m,other,2,33,3.0,7,0,0,52,0
55037,Technology,region_2,Bachelor's,f,other,3,27,2.0,2,0,0,80,0
50295,Procurement,region_2,Master's & above,m,other,2,38,3.0,8,0,0,68,0
31279,Operations,region_13,Master's & above,m,other,1,38,2.0,5,0,0,64,0
40556,Procurement,region_10,Bachelor's,m,sourcing,1,28,5.0,5,1,0,65,0
33436,Operations,region_16,Bachelor's,f,other,1,43,3.0,6,1,0,62,0
39194,Operations,region_21,Bachelor's,m,other,1,42,5.0,7,1,0,57,0
40906,Sales & Marketing,region_26,Bachelor's,m,other,2,26,1.0,3,0,0,49,0
13915,Operations,region_2,Bachelor's,f,other,1,43,3.0,11,0,0,63,0
27372,Finance,region_22,Bachelor's,m,sourcing,1,25,4.0,4,0,0,63,0
59275,Sales & Marketing,region_23,Master's & above,m,sourcing,2,39,3.0,13,0,0,42,0
59136,Analytics,region_15,Master's & above,m,sourcing,2,38,3.0,3,0,0,81,0
50395,Sales & Marketing,region_11,Bachelor's,m,other,1,31,4.0,7,0,0,53,0
42831,Sales & Marketing,region_20,Bachelor's,m,sourcing,1,28,3.0,2,0,0,46,0
74382,Operations,region_22,Bachelor's,f,other,1,31,3.0,3,1,0,61,0
44016,Procurement,region_2,Master's & above,f,sourcing,1,33,4.0,9,1,0,75,0
58384,Operations,region_16,Bachelor's,m,other,1,32,4.0,3,1,1,59,0
36428,Finance,region_22,Bachelor's,m,sourcing,1,28,4.0,2,1,0,60,0
4770,Technology,region_31,Bachelor's,f,other,1,36,1.0,4,0,0,77,0
35024,Technology,region_7,Master's & above,m,sourcing,1,37,2.0,9,0,0,79,0
70249,Technology,region_4,Master's & above,m,other,2,50,2.0,17,0,0,81,0
40590,HR,region_2,Master's & above,m,other,2,47,5.0,7,0,0,52,0
73271,Technology,region_11,Bachelor's,m,other,2,35,3.0,10,0,0,83,0
24790,Operations,region_2,Master's & above,f,sourcing,1,40,5.0,5,0,0,55,0
57769,Analytics,region_31,Bachelor's,m,other,1,33,2.0,5,0,0,81,0
53714,Analytics,region_12,Bachelor's,m,other,1,28,3.0,5,0,0,85,0
53860,Operations,region_7,Master's & above,m,other,1,57,5.0,6,1,0,54,0
60519,Analytics,region_28,Master's & above,m,sourcing,1,30,2.0,4,0,0,86,0
68468,Operations,region_27,Master's & above,m,other,1,41,5.0,6,1,0,60,0
10835,HR,region_13,Master's & above,f,other,1,32,4.0,2,0,0,49,0
26693,Sales & Marketing,region_15,Bachelor's,m,other,1,52,1.0,7,0,0,51,0
38645,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,49,1.0,5,1,0,48,0
9867,Sales & Marketing,region_28,Bachelor's,f,other,1,27,3.0,5,0,0,54,0
70395,Sales & Marketing,region_30,Bachelor's,m,other,1,31,5.0,7,1,0,50,0
17377,Sales & Marketing,region_15,Bachelor's,m,sourcing,2,31,1.0,6,0,0,49,0
71257,Technology,region_5,Bachelor's,f,other,1,28,1.0,5,0,0,75,0
53528,Legal,region_26,Bachelor's,m,sourcing,1,30,3.0,4,0,0,58,0
51841,Procurement,region_7,Bachelor's,m,other,1,28,3.0,3,1,0,67,0
47836,Procurement,region_2,Master's & above,f,other,1,31,1.0,3,0,0,75,0
51073,Finance,region_2,Bachelor's,m,sourcing,1,26,3.0,2,1,0,58,0
6146,Analytics,region_11,Bachelor's,m,other,1,30,5.0,5,1,0,87,0
54834,Finance,region_2,Bachelor's,m,other,1,26,5.0,6,0,0,59,0
36105,Procurement,region_23,Bachelor's,m,other,1,33,4.0,2,1,0,70,0
61615,Sales & Marketing,region_2,Master's & above,m,other,2,55,2.0,19,0,0,48,0
75123,Technology,region_26,Bachelor's,m,sourcing,1,52,4.0,16,0,0,79,0
10247,Sales & Marketing,region_29,Master's & above,m,other,3,31,1.0,8,0,0,55,0
6423,Operations,region_27,Master's & above,f,other,1,41,3.0,5,1,0,60,0
11519,Finance,region_7,Bachelor's,m,other,1,32,5.0,9,1,0,57,0
67074,Technology,region_5,Bachelor's,f,sourcing,2,25,3.0,2,0,0,79,0
17600,Technology,region_7,Bachelor's,f,other,1,29,4.0,4,0,0,85,0
37547,Sales & Marketing,region_27,Bachelor's,f,other,1,31,1.0,3,0,0,52,0
51468,Operations,region_19,Bachelor's,m,sourcing,1,32,5.0,5,1,0,57,0
69453,Operations,region_25,Master's & above,m,sourcing,1,32,3.0,10,0,0,57,0
33922,Procurement,region_11,Bachelor's,f,other,1,30,2.0,6,0,0,66,0
5216,Finance,region_31,Master's & above,m,sourcing,1,32,3.0,4,0,0,64,0
32253,Operations,region_2,Bachelor's,f,other,1,52,3.0,2,0,0,64,0
27110,Sales & Marketing,region_30,Bachelor's,m,other,1,43,4.0,11,0,0,48,0
19559,Operations,region_32,Bachelor's,f,other,1,38,3.0,11,1,0,59,0
29882,Technology,region_16,Below Secondary,f,other,1,24,4.0,3,0,0,78,0
45878,Sales & Marketing,region_33,Bachelor's,m,sourcing,1,37,5.0,8,0,0,51,0
50595,Operations,region_2,Bachelor's,f,other,1,43,4.0,12,0,0,58,0
42818,Sales & Marketing,region_22,Master's & above,f,other,3,35,5.0,7,0,0,51,0
3532,HR,region_2,Master's & above,m,sourcing,1,46,3.0,18,0,0,45,0
25125,Legal,region_2,Bachelor's,m,other,1,45,4.0,6,0,0,59,0
8749,Operations,region_2,Bachelor's,m,other,1,30,3.0,7,1,0,60,0
43757,HR,region_27,Bachelor's,f,other,1,38,3.0,9,0,0,48,0
47155,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,35,2.0,4,0,0,50,0
27676,Technology,region_6,Bachelor's,f,sourcing,1,28,3.0,3,0,0,77,0
13835,Sales & Marketing,region_16,Bachelor's,m,other,2,31,4.0,6,0,0,47,0
3471,Procurement,region_17,Bachelor's,f,other,1,38,5.0,3,1,0,69,0
64110,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,31,3.0,2,1,0,51,0
32643,Analytics,region_26,Bachelor's,m,sourcing,1,28,3.0,2,1,0,84,0
54856,Sales & Marketing,region_14,Master's & above,m,other,1,38,3.0,7,0,0,46,0
37792,Technology,region_16,Bachelor's,m,other,1,40,1.0,2,1,0,79,0
13199,Sales & Marketing,region_30,Bachelor's,m,other,1,30,5.0,3,1,0,47,0
28748,Operations,region_13,Bachelor's,f,other,1,30,4.0,5,1,0,60,0
38077,Sales & Marketing,region_2,Master's & above,f,other,2,43,5.0,4,1,0,48,0
23391,Operations,region_14,Master's & above,m,sourcing,1,48,4.0,7,0,0,58,0
23624,Technology,region_1,Master's & above,m,sourcing,1,37,4.0,5,1,0,81,0
61461,Analytics,region_7,Bachelor's,m,other,1,28,5.0,4,0,0,85,0
52180,Sales & Marketing,region_11,Bachelor's,m,other,1,30,3.0,3,1,0,52,0
67620,Operations,region_9,Bachelor's,m,sourcing,1,30,3.0,9,0,0,54,0
12064,Operations,region_22,Bachelor's,f,sourcing,2,25,5.0,2,0,0,61,0
45227,Procurement,region_7,Master's & above,m,sourcing,1,49,3.0,8,0,0,75,0
21871,Sales & Marketing,region_1,Master's & above,m,sourcing,1,32,4.0,7,0,0,50,0
52315,Technology,region_15,Bachelor's,m,sourcing,1,44,3.0,14,0,0,77,0
63357,Operations,region_32,Bachelor's,m,other,1,40,4.0,15,1,0,61,0
20106,Technology,region_5,Master's & above,f,other,1,32,5.0,7,1,0,79,0
59485,Analytics,region_22,Master's & above,m,sourcing,1,53,3.0,19,0,0,83,0
33315,Technology,region_7,Master's & above,f,other,1,47,4.0,7,0,0,78,0
9298,Procurement,region_21,Bachelor's,m,other,1,30,3.0,6,0,0,70,0
43201,Sales & Marketing,region_1,Bachelor's,m,sourcing,1,39,5.0,9,0,0,52,0
4613,Sales & Marketing,region_12,Bachelor's,m,sourcing,1,28,4.0,4,0,0,53,0
20572,Technology,region_30,Bachelor's,m,other,1,28,3.0,5,0,0,78,0
26050,Operations,region_7,Bachelor's,m,sourcing,1,41,5.0,7,1,0,58,0
36021,Sales & Marketing,region_8,Bachelor's,m,sourcing,1,28,3.0,4,0,0,47,0
27580,Analytics,region_15,Master's & above,m,other,2,33,2.0,5,0,0,86,0
6432,Sales & Marketing,region_22,Master's & above,m,sourcing,4,44,3.0,14,0,0,42,0
55137,Operations,region_15,Bachelor's,f,other,1,37,4.0,10,0,0,60,0
23307,Sales & Marketing,region_7,Bachelor's,m,other,1,38,2.0,4,0,0,53,0
15332,HR,region_22,Bachelor's,f,referred,1,29,4.0,7,1,0,52,0
2055,Sales & Marketing,region_17,Bachelor's,m,other,1,29,3.0,4,0,0,53,0
42988,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,34,1.0,8,0,0,48,0
73023,Operations,region_31,Bachelor's,f,sourcing,1,33,4.0,6,0,0,63,0
52543,Analytics,region_22,Bachelor's,f,other,2,29,3.0,6,0,0,89,0
26451,Technology,region_13,Bachelor's,f,sourcing,1,24,4.0,2,0,0,82,0
40098,Procurement,region_2,Master's & above,m,sourcing,1,47,3.0,6,0,0,72,0
59385,Procurement,region_4,Bachelor's,m,other,1,38,1.0,4,0,0,64,0
27520,Sales & Marketing,region_16,Bachelor's,m,sourcing,2,23,3.0,2,0,0,47,0
65735,Procurement,region_27,Master's & above,f,other,1,36,4.0,10,0,0,75,0
20306,Technology,region_7,Master's & above,f,other,1,43,1.0,7,0,0,75,0
56306,Sales & Marketing,region_22,Bachelor's,m,sourcing,3,33,1.0,7,0,0,50,0
1141,Finance,region_26,Bachelor's,m,other,3,25,3.0,4,0,0,57,0
6450,Sales & Marketing,region_2,Bachelor's,m,other,5,28,3.0,5,0,0,51,0
34857,Finance,region_2,Bachelor's,f,other,1,48,3.0,6,0,0,57,0
39459,Sales & Marketing,region_7,Bachelor's,m,other,1,36,4.0,7,1,0,50,0
14838,HR,region_7,Bachelor's,f,other,1,36,3.0,9,0,0,53,0
30218,Procurement,region_2,Master's & above,f,other,1,45,3.0,14,0,0,71,0
63684,Procurement,region_7,Bachelor's,f,sourcing,1,28,1.0,2,0,0,65,0
32360,Technology,region_14,Bachelor's,f,other,1,38,4.0,5,1,0,80,0
31209,Sales & Marketing,region_22,Bachelor's,f,sourcing,1,34,4.0,5,0,0,46,0
4521,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,32,3.0,6,0,0,50,0
67254,Sales & Marketing,region_32,Bachelor's,f,other,1,26,3.0,2,0,0,53,0
18321,Sales & Marketing,region_2,Master's & above,m,other,1,55,5.0,14,1,0,48,0
6945,R&D,region_11,Bachelor's,m,sourcing,4,31,3.0,4,0,0,87,0
23558,Technology,region_22,Bachelor's,m,other,2,34,1.0,9,0,0,80,0
60577,Sales & Marketing,region_22,Bachelor's,f,other,2,29,3.0,8,0,0,55,0
10686,Analytics,region_28,Bachelor's,m,other,1,36,4.0,6,0,0,85,0
67166,Procurement,region_2,Bachelor's,f,other,1,51,2.0,8,1,0,70,0
16745,Sales & Marketing,region_1,Master's & above,m,other,2,33,2.0,8,1,0,54,0
49899,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,30,5.0,6,0,0,52,0
31568,Sales & Marketing,region_32,Bachelor's,m,other,3,28,3.0,4,0,0,51,0
19026,Technology,region_9,Bachelor's,m,other,1,29,1.0,5,1,0,79,0
13967,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,33,3.0,9,0,0,49,0
14524,Analytics,region_16,Bachelor's,m,sourcing,1,39,4.0,10,0,0,83,0
4479,Technology,region_2,Bachelor's,m,other,2,35,3.0,7,0,0,77,0
11848,Operations,region_12,Bachelor's,m,other,1,37,2.0,8,0,0,61,0
40553,Sales & Marketing,region_8,Master's & above,m,other,1,44,2.0,2,0,0,51,0
49834,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,56,2.0,17,0,0,49,0
65371,Operations,region_26,Bachelor's,m,sourcing,2,33,3.0,7,1,0,62,0
14453,Sales & Marketing,region_2,Master's & above,f,other,1,39,1.0,11,0,0,50,0
46076,Operations,region_13,Bachelor's,f,sourcing,1,37,5.0,7,1,0,59,0
64871,Sales & Marketing,region_31,Master's & above,m,sourcing,2,46,3.0,7,1,1,48,0
30106,Sales & Marketing,region_16,Bachelor's,f,sourcing,1,32,4.0,4,1,0,45,0
13697,Operations,region_15,Master's & above,m,referred,2,36,5.0,8,0,0,58,0
17880,Procurement,region_2,Bachelor's,f,other,1,30,5.0,3,1,0,69,0
54915,Operations,region_22,Master's & above,m,other,1,40,3.0,4,1,0,54,0
